vial_id,cruise,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,maturity,mid_latitude,mid_longitude,gis_station,bottom_depth,gear_temperature,start_date,sample_region,lme,DWT_WWT,Perc_DWT,WWT_DWT,year
2019-1,201902,162,1,1,87.44,14.92,248.3,0.6304,0.1702,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.26998730964467005,26.998730964467004,3.7038777908343126,2019
2019-10,201901,162,193,1,91.84,13.01,219.2,1.3592,0.3829,0,61.99908,-175.17202,V-27,80,0.4,7282019,4,EBS,0.2817098293113596,28.170982931135963,3.549751893444763,2019
2019-11,201902,94,1,1,55.53,7.92,67.8,1.1139,0.2632,0,62.00723,-173.08002,V-24,58,0.8,7292019,7,NBS,0.23628691983122363,23.628691983122362,4.232142857142857,2019
2019-13,201902,162,1,1,85.09,15.04,230.6,1.0088,0.1771,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.1755551149881047,17.555511498810468,5.696216826651608,2019
2019-14,201902,162,1,1,93.94,13.48,224.8,0.9917,0.2046,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.20631239286074418,20.63123928607442,4.847018572825024,2019
2019-147,201902,162,46,1,59.43,8.34,71.8,1.1738,0.3271,0,63.33692,-173.40604,ZZ-24,71,0,8132019,8,NBS,0.2786675753961493,27.866757539614927,3.5885050443289512,2019
2019-148,201902,162,46,1,56.35,6.6,59.8,0.6835,0.1912,0,63.33692,-173.40604,ZZ-24,71,0,8132019,8,NBS,0.27973664959765915,27.973664959765916,3.574790794979079,2019
2019-149,201902,162,46,1,54.5,7.13,62.9,0.6489,0.2011,0,63.33692,-173.40604,ZZ-24,71,0,8132019,8,NBS,0.30990907689936814,30.990907689936815,3.226752859273993,2019
2019-15,201902,162,1,1,79.23,13.57,199.4,1.1415,0.2166,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.1897503285151117,18.97503285151117,5.270083102493075,2019
2019-151,201902,162,46,1,56.1,7.16,63.6,0.5707,0.1708,0,63.33692,-173.40604,ZZ-24,71,0,8132019,8,NBS,0.29928158401962507,29.928158401962506,3.341334894613583,2019
2019-154,201902,162,46,1,59.85,7.56,80.2,1.055,0.3942,0,63.33692,-173.40604,ZZ-24,71,0,8132019,8,NBS,0.3736492890995261,37.36492890995261,2.676306443429731,2019
2019-158,201901,94,133,1,84.01,12.75,204.8,1.4572,0.1373,0,60.32928,-170.6645,Q-21,62,2.6,7072019,4,EBS,0.09422179522371672,9.422179522371673,10.613255644573925,2019
2019-159,201901,94,133,1,78.61,11.71,168.2,1.4669,0.0811,0,60.32928,-170.6645,Q-21,62,2.6,7072019,4,EBS,0.05528665894062308,5.528665894062308,18.08754623921085,2019
2019-16,201902,162,1,1,80.69,14.25,208.7,0.9922,0.2586,0,62.31661,-175.31904,W-27,80,0.2,7282019,7,NBS,0.2606329369078815,26.063293690788147,3.836813611755607,2019
2019-160,201901,94,133,1,84.69,11.99,211.7,1.4069,0.1135,0,60.32928,-170.6645,Q-21,62,2.6,7072019,4,EBS,0.08067382187788756,8.067382187788755,12.395594713656388,2019
